City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
329,vernon,50.2581,-119.2691,42.3,93,100,2.3,CA,1706538607
330,cartagena,10.3997,-75.5144,80.22,78,20,3.44,CO,1706538683
331,yangor,10.3997,-75.5144,80.22,78,20,3.44,CO,1706538683
332,guerrero negro,27.9769,-114.0611,61.52,56,37,2.13,MX,1706538683
333,yeppoon,-23.1333,150.7333,83.98,92,100,4.9,AU,1706538683
334,odienne,9.51,-7.5692,97.02,9,25,4.14,CI,1706538684
335,nelson bay,-32.7167,152.15,77.09,93,5,13.0,AU,1706538684
336,huarmey,-10.0681,-78.1522,77.38,78,98,7.36,PE,1706538684
337,sheopur,25.6667,76.7,66.6,33,100,3.44,IN,1706538684
338,ravar,31.2656,56.8055,49.69,31,100,3.11,IR,1706538684
339,hamilton,39.1834,-84.5333,34.77,90,100,6.91,US,1706538685
340,santa ana de yacuma,-13.75,-65.4333,85.95,74,75,11.5,BO,1706538685
341,flying fish cove,-10.4217,105.6791,78.48,94,75,5.75,CX,1706538685
342,moranbah,-22.0016,148.0466,79.57,84,98,15.82,AU,1706538685
343,sant lluis,39.8526,4.2594,61.2,72,40,11.5,ES,1706538685
344,madras,13.0878,80.2785,78.78,69,40,8.05,IN,1706538685
345,al ghayzah,16.2079,52.176,77.31,77,100,9.33,YE,1706538686
346,sinop,41.7711,34.8709,32.9,96,99,4.38,TR,1706538491
347,corsicana,32.0954,-96.4689,48.16,81,0,3.44,US,1706538686
348,vorkuta,67.5,64.0,3.0,95,88,8.63,RU,1706538615
349,baardheere,2.3446,42.2764,99.16,21,100,16.42,SO,1706538686
350,walvis bay,-22.9575,14.5053,68.09,61,90,23.6,NA,1706538686
351,ridgecrest,35.6225,-117.6709,39.06,93,0,0.0,US,1706538686
352,macapa,0.0389,-51.0664,85.98,70,40,8.05,BR,1706538687
353,castillos,-34.1667,-53.8333,77.52,55,59,9.6,UY,1706538687
354,lamar,33.6668,-95.5836,41.65,98,0,5.75,US,1706538687
355,hasaki,35.7333,140.8333,30.6,47,5,2.75,JP,1706538687
356,chissamba,-12.1667,17.3333,69.91,85,99,1.5,AO,1706538687
357,grand falls-windsor,48.9332,-55.6649,16.5,84,100,5.01,CA,1706538687
358,morehead city,34.7229,-76.726,50.02,70,75,14.97,US,1706538688
359,fenoarivo be,-18.4333,46.5667,71.49,88,69,2.55,MG,1706538688
360,kone,-21.0595,164.8658,75.02,84,97,1.92,NC,1706538688
361,dzierzgon,53.922,19.3471,41.77,70,100,12.68,PL,1706538688
362,seeb,23.6703,58.1891,77.09,69,0,6.91,OM,1706538688
